Generated by MD5 & SHA Checksum Utility 2.1 Pro,,,,
Website: http://raylin.wordpress.com/downloads/md5-sha-1-checksum-utility,,,,
File Name,Folder Path,SHA-256,SHA-1,MD5
b4CP.GitHub.scripts.2024-11-06-1307CST.v05.37.00.000.tgz,,8C9866319B684DB1CE484CE7BDBB086EF0CCBF435EC2DEE2A5A74592728C2A10,E87F9AEEF4D7466B0263B3B2F1E5F4F6291D3B4E,A90E306B666AE59ABD517300CF38E92B
B4CP.scripts.v05.37.00.000.125.2024-06-12-1945CDT.INFO,,DDF8DEE37E336D67D9D58DA51E5B02F1959236B6A79F265436C98C9797D2A67E,956E3D5136422EDFCDCCD249B9DFA9E30137E928,23AAA4132C2620FAD75EB84FB436A160
B4CP.scripts.v05.37.00.000.125.2024-11-05-2325CST.release.INFO,,DDF8DEE37E336D67D9D58DA51E5B02F1959236B6A79F265436C98C9797D2A67E,956E3D5136422EDFCDCCD249B9DFA9E30137E928,23AAA4132C2620FAD75EB84FB436A160
b4CP.scripts.v05.37.00.000.tgz,,8C9866319B684DB1CE484CE7BDBB086EF0CCBF435EC2DEE2A5A74592728C2A10,E87F9AEEF4D7466B0263B3B2F1E5F4F6291D3B4E,A90E306B666AE59ABD517300CF38E92B
File_Hashes_scripts_v05.36.01.000.csv,,CB33F11D15AB56D7EA1A1A193846FE0000D60FAE2BD03154AF2F58A069C2F820,27AF55E6489937010A9434C3D40B7A8BE8C43808,FDF11A4ACCBD247D3DC78B75B2CD238F
LICENSE,,0B383D5A63DA644F628D99C33976EA6487ED89AAA59F0B3257992DEAC1171E6B,7713A1753CE88F2C7E6B054ECC8E4C786DF76300,3C34AFDC3ADF82D2448F12715A255122
README.md,,73BBD6A729EC4060196BF0C35A3FBF7DC35FEE53BA82877CEB246E905885F703,343E7547BEA5A2E8DAAA9F250C60E37BDE0EA472,D22F5C5EBCCB0EA3D82532FEDA0A8087
RELEASE_INFORMATION.b4CP.v05.37.00.000.md,,4478FCA6E50FF8B71398A441D79A87B0227D9EE7C34ED1232DC38475177049C2,45AF5F11A2C2B8163FA5F22D9F46DC45D832201F,2BA99E4488DB0E85467315D5900C8851
scripts.2024-06-12-1945CDT.v05.37.00.000.version,,7B205A658A946A3D312223BE285E799D5AA77E51E8E6FF7411F4C64B5282CAB0,51DCBCE8D32B85C36D35704226267FD1A0B95AD2,0D56CE278A540DBC28DB19E0944D4931
SECURITY.md,,25BDF582F85FD9BBE03EDE0513551BFBCD660802965AFC3E345B2AA13B14D665,08DAF8F9E103F1B8C35C93DEA4F1328CCCC02DB9,9EBA644B29D2CFBC935912B2EEFDD378
solution_info.json,,4B69A7C937DD4B5A407D01B98A9B78BA1719869ED8FA7B064051E9DD283D34B9,69DCA8324AB78D4FE73A723D0BDB56E644151BEA,3F12FA48314E36A3475D1674D595A55E
solution_info.v05.37.00.json,,4B69A7C937DD4B5A407D01B98A9B78BA1719869ED8FA7B064051E9DD283D34B9,69DCA8324AB78D4FE73A723D0BDB56E644151BEA,3F12FA48314E36A3475D1674D595A55E
